fold,accuracy,f1,precision,recall,roc_auc
0,0.6930131004366812,0.6785550983081847,0.6973684210526315,0.6607301869991096,0.7624935045908521
1,0.7042376583660988,0.7098156879554222,0.7095115681233933,0.7101200686106347,0.7752856612632482
2,0.6985583224115334,0.6960352422907489,0.6911636045494314,0.7009760425909495,0.7631099884389886
3,0.7186544342507645,0.7075386012715713,0.7049773755656109,0.7101185050136737,0.7767286314720439
4,0.709916994320664,0.697632058287796,0.6919602529358627,0.7033976124885216,0.7771854912764004
