fold,accuracy,f1,precision,recall,roc_auc
0,0.6637554585152838,0.6607929515418502,0.6538796861377506,0.667853962600178,0.7142424388096213
1,0.6880733944954128,0.6911764705882353,0.6972076788830716,0.6852487135506004,0.7426452057326232
2,0.6762778505897772,0.6776859504132231,0.6646757679180887,0.6912156166814551,0.7279252642462359
3,0.6736566186107471,0.6745098039215687,0.6460767946577629,0.7055606198723792,0.7307788783319975
4,0.6858890345128877,0.6748077792853913,0.6648841354723708,0.6850321395775941,0.7479048056320783
