fold,accuracy,f1,precision,recall,roc_auc
0,0.7301310043668122,0.726063829787234,0.7228596646072374,0.7292965271593945,0.7969426366668422
1,0.7125382262996942,0.7161345987920621,0.7204861111111112,0.7118353344768439,0.7831471692003624
2,0.7173438182612495,0.7138434321096859,0.7116402116402116,0.7160603371783496,0.7855249111543143
3,0.7361293141109655,0.7341549295774648,0.7097872340425532,0.7602552415679125,0.7999983175591759
4,0.7291393621668851,0.7204688908926962,0.7077059344552702,0.7337006427915519,0.8057483930211203
