fold,accuracy,f1,precision,recall,roc_auc
0,0.7397379912663755,0.7385964912280701,0.7277441659464131,0.7497773820124666,0.8043723927751973
1,0.7212756662297947,0.725,0.7287694974003466,0.7212692967409948,0.7929026483521686
2,0.7330712101354303,0.7309555261999119,0.7255244755244755,0.7364685004436557,0.797178319056426
3,0.7418086500655308,0.7390728476821192,0.7166095890410958,0.7629899726526892,0.8108791212152728
4,0.743993010048056,0.7409372236958444,0.7144075021312873,0.7695133149678605,0.8203428221610041
