fold,accuracy,f1,precision,recall,roc_auc
0,0.6772925764192139,0.669351230425056,0.6726618705035972,0.666073018699911,0.7414197648146834
1,0.673219746614242,0.6795201371036846,0.6789383561643836,0.6801029159519726,0.7369151791101084
2,0.6631716906946264,0.6519187358916478,0.6636029411764706,0.6406388642413487,0.7257123308801183
3,0.6933158584534731,0.6806187443130118,0.6793823796548593,0.6818596171376481,0.7601764727475177
4,0.6780253385757973,0.6717149220489977,0.6522491349480969,0.6923783287419651,0.7380532598714418
