fold,accuracy,f1,precision,recall,roc_auc
0,0.6930131004366812,0.6817564508827524,0.6933701657458563,0.6705253784505788,0.7565616031852495
1,0.7068588903451288,0.7123874839262752,0.712082262210797,0.7126929674099486,0.7700619664614355
2,0.6780253385757973,0.6722987994664296,0.6737967914438503,0.6708074534161491,0.7422978770195497
3,0.7177806902577545,0.7060964513193813,0.7048138056312443,0.707383773928897,0.7746898190917266
4,0.7038007863695938,0.6884191176470589,0.6890524379024839,0.6877869605142333,0.7782330884603612
