fold,accuracy,f1,precision,recall,roc_auc
0,0.7358078602620087,0.7352297592997812,0.7228915662650602,0.7479964381121995,0.798156639128421
1,0.7164700742682394,0.7203791469194313,0.7238095238095238,0.7169811320754716,0.7838398433502517
2,0.727391874180865,0.7241379310344828,0.7215859030837004,0.7267080745341615,0.7894803959150074
3,0.7269550021843599,0.7225920994229915,0.7041522491349481,0.7420237010027347,0.7948095171088936
4,0.7492354740061162,0.7407407407407407,0.7288888888888889,0.7529843893480257,0.8209328129782676
