fold,accuracy,f1,precision,recall,roc_auc
0,0.7314410480349345,0.7238437359676695,0.730072463768116,0.717720391807658,0.7964733648165148
1,0.7217125382262997,0.7248380129589633,0.7302001740644039,0.7195540308747856,0.7904534686402662
2,0.709043250327654,0.7094240837696335,0.6978540772532189,0.7213842058562555,0.7809241783969444
3,0.7391874180865007,0.7307171853856563,0.7232142857142857,0.7383773928896992,0.8067487289924321
4,0.746614242027086,0.7396768402154399,0.723441615452151,0.7566574839302111,0.8174579124579124
